[ALERT] Time: 1745426796296 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796362 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796429 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796429 | Sensor: 1 | Type: Isolated High Spike | Temp: 83.154877 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796496 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796496 | Sensor: 1 | Type: Isolated High Spike | Temp: 83.154877 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796550 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796550 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796613 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796613 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796681 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796747 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796801 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796801 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796863 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796863 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796931 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796931 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796996 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796996 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426796996 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797050 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797050 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797114 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797114 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797179 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797179 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797246 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797246 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797246 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797311 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797311 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797311 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797311 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797363 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797363 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797363 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797430 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797430 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797430 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797497 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797497 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797563 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
