[ALERT] Time: 1745678132919 | Sensor: 4 | Type: Isolated High Spike | Temp: 83.154877 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745678132919 | Sensor: 15 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745678132983 | Sensor: 4 | Type: Isolated High Spike | Temp: 83.154877 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745678132983 | Sensor: 6 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745678132983 | Sensor: 15 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745678133046 | Sensor: 4 | Type: Isolated High Spike | Temp: 83.154877 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745678133046 | Sensor: 6 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745678133046 | Sensor: 15 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745678133108 | Sensor: 4 | Type: Isolated High Spike | Temp: 83.154877 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745678133108 | Sensor: 6 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745678133108 | Sensor: 15 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745678133171 | Sensor: 4 | Type: Isolated High Spike | Temp: 83.154877 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745678133171 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745678133171 | Sensor: 6 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745678133171 | Sensor: 15 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745678133233 | Sensor: 4 | Type: Isolated High Spike | Temp: 83.154877 C [Note] Neighboring sensors are normal.
